,Total Error,Disparity,theta0,theta1
0,834.2,122.0,49.0,99.0
1,834.2,121.8,66.0,95.0
2,834.4,121.6,94.0,46.0
3,836.2,121.4,81.0,79.0
4,836.4,121.2,77.0,34.0
5,836.4,120.8,30.0,73.0
6,836.6,121.0,53.0,72.0
7,836.8,120.6,67.0,43.0
8,837.6,120.0,63.0,25.0
9,837.6,120.2,60.0,64.0
10,837.8,119.8,0.0,61.0
11,837.8,119.6,1.0,58.0
12,838.0,119.4,11.0,59.0
13,838.2,119.2,15.0,56.0
14,838.6,118.8,55.0,5.0
15,839.0,118.4,54.0,3.0
16,839.2,118.2,53.0,39.0
17,839.6,117.8,37.0,51.0
18,839.8,117.6,52.0,21.0
19,840.0,117.4,30.0,50.0
20,840.2,117.2,22.0,48.0
21,840.4,117.0,47.0,9.0
22,840.8,116.6,7.0,46.0
23,841.6,115.6,0.0,44.0
24,841.6,115.8,5.0,45.0
25,841.6,115.4,23.0,42.0
26,842.0,115.0,39.0,23.0
27,842.4,114.6,3.0,38.0
28,842.8,114.2,36.0,17.0
29,843.8,113.2,13.0,35.0
30,844.0,113.0,3.0,34.0
31,844.0,112.8,13.0,29.0
32,844.4,112.4,30.0,27.0
33,844.6,112.2,24.0,28.0
34,845.4,111.4,26.0,27.0
35,846.8,110.4,7.0,26.0
36,847.2,110.0,25.0,16.0
37,847.8,109.2,23.0,24.0
38,848.6,108.4,4.0,23.0
39,850.0,107.0,3.0,22.0
40,850.4,106.6,21.0,13.0
41,850.6,106.2,20.0,2.0
42,852.0,105.0,19.0,3.0
43,852.6,104.2,18.0,3.0
44,854.2,103.0,8.0,17.0
45,854.6,102.6,0.0,16.0
46,855.0,102.0,15.0,2.0
47,856.8,100.8,14.0,8.0
48,858.2,99.6,13.0,8.0
49,859.8,98.0,12.0,9.0
50,861.2,96.6,11.0,0.0
51,862.0,95.6,7.0,10.0
52,864.2,93.4,0.0,9.0
53,866.4,91.0,5.0,8.0
54,868.6,88.8,7.0,3.0
55,871.0,86.4,6.0,3.0
56,872.4,84.2,5.0,5.0
57,875.0,81.0,0.0,4.0
58,879.4,76.6,3.0,3.0
59,882.4,73.6,0.0,2.0
60,886.4,69.0,1.0,0.0
61,893.4,62.4,0.0,0.0
